TF	gene	ctype	RP	cor	clst	BP
CDK8	NEU3	CESC	0.71269057333047	0.516153327596531	10	0.367857610971202
CDK8	MAN1A2	CESC	0.899774532961134	0.525178433563016	10	0.472542179780423
CDK8	COG3	CESC	0.6340455228688	0.575280890385683	10	0.364754272941019
CDK8	FUT11	CESC	0.971870302770024	0.484266234085187	10	0.47064397154167
CDK8	SLC35A3	CESC	0.756388232767876	0.452781069858298	10	0.342478273260866
CDK8	SLC35D1	CESC	0.899452437191325	0.414305919573598	10	0.372648469103266
CDK8	UGCG	CESC	0.640326390380073	0.458800014609701	10	0.293781757261355
CDK8	SLC35E1	CESC	0.665557225681769	0.510734981290767	10	0.339923357206513
CDK8	ACER2	CESC	0.610371483787846	0.510248830909089	10	0.311441336022994
CEBPA	NAGK	CESC	0.884743397036719	0.428615869409428	9	0.379215060325144
CEBPA	HS3ST6	CESC	0.843944599527593	0.440858992527274	9	0.372060565896568
CHD1	MAN2A1	CESC	0.585784840025768	0.623183075921324	10	0.365051198435339
CHD1	STT3B	CESC	0.673448572042087	0.461544371297984	10	0.31082639778469
CHD1	CSGALNACT2	CESC	0.606774747691647	0.453672765377025	10	0.275277177746216
CHD1	NEU3	CESC	0.655357526304488	0.428045470188508	10	0.280522820488582
CHD1	MAN1A2	CESC	0.617726003865149	0.4570871531613	10	0.282354620540427
CHD1	SLC35A5	CESC	0.514440627013099	0.437602094728795	10	0.225120295994527
CHD2	MAN1A2	CESC	0.968541979815332	0.504234923985476	1	0.488372691568926
CHD2	MAN2A2	CESC	0.658256388232768	0.505971715115876	1	0.333059113740116
CHD2	SLC35E1	CESC	0.959684346145587	0.412764344270038	1	0.396123479843003
CHD2	RTF1	CESC	0.627872020614129	0.558865128533879	1	0.350895777503341
CHD2	CHSY1	CESC	0.787846252952545	0.453572008821236	1	0.357345007593969
CHD2	PIGN	CESC	0.719776680266266	0.44741704271952	1	0.322040353703206
CHD8	NEU3	CESC	0.824940949108868	0.565136772344612	10	0.466204465354286
CHD8	STT3B	CESC	0.894030491732875	0.457709324893292	10	0.409206092805072
CHD8	FUT11	CESC	0.995705389735882	0.45042966373759	10	0.448495243880439
CHD8	PIGO	CESC	0.993880180373631	0.405545137047808	10	0.403063273958724
CHD8	NDST2	CESC	0.919959201202491	0.488239820754087	10	0.449160715496177
CHD8	ACER2	CESC	0.665288812540262	0.527834628264985	10	0.351162473056042
CHD8	SLC35A3	CESC	0.872342709899077	0.427639790275229	10	0.373048453509366
CHD8	COG8	CESC	0.905411208932789	0.430195228421409	10	0.389503581842145
CHD8	SLC35E1	CESC	0.814097058191969	0.46823208768843	10	0.381186365138235
CLOCK	FUT11	CESC	0.920392935745343	0.574774588692847	10	0.529018471078831
CPSF3L	B3GALT6	CESC	0.732123684775607	0.52946436555486	3	0.387633402267403
CREB1	FUT11	CESC	0.951044071071985	0.436710399210069	10	0.415330835944216
CREBBP	FUT11	CESC	0.992806527807601	0.441813718760745	10	0.438635544060619
CREBBP	MAN1A2	CESC	0.648969293536612	0.556593068200853	10	0.361211810257683
