TF	gene	ctype	RP	cor	clst	BP
CPSF3L	B3GALT6	LUAD	0.792892420012884	0.567841515432021	3	0.450237233354679
CPSF3L	RFNG	LUAD	0.807225681769379	0.483036950944159	3	0.389919832045701
CPSF3L	PIGQ	LUAD	0.712261112304058	0.485209056392281	3	0.345595542205968
CPSF3L	SLC35C2	LUAD	0.765138501181018	0.44101148242493	3	0.33743486466623
CPSF3L	GALE	LUAD	0.997315868584926	0.460487733168566	3	0.459251723577712
CPSF3L	POMGNT1	LUAD	0.789617779686493	0.432150560109886	3	0.341233765764243
CREB1	FUT11	LUAD	0.951044071071985	0.427629139955118	2	0.406694158171927
CREBBP	MAN1A2	LUAD	0.72063560231909	0.516967413250153	2	0.372545123226866
CREBBP	SLC35E1	LUAD	0.946639467468327	0.410081863097521	2	0.388199676501057
DCP1A	STT3B	LUAD	0.95560684953567	0.50010887516337	2	0.477907466619696
DEK	ALG10	LUAD	0.945192978689141	0.516718079938258	7	0.488398301119376
DEK	COG5	LUAD	0.980245853239573	0.42889624931953	7	0.420423769865475
DNMT3A	B3GALNT2	LUAD	0.799656431178871	0.435336192263432	3	0.348119385868375
DNMT3A	MOGS	LUAD	0.834603822203135	0.487168464791288	3	0.406592662771642
DNMT3A	B4GALT3	LUAD	0.882220313506549	0.433182921759184	3	0.38216277304007
E2F1	POFUT1	LUAD	0.703564526519218	0.450162279120087	2	0.316718210765936
E2F3	UGGT1	LUAD	0.552984754133562	0.414890171604714	2	0.229427939537264
E2F3	POFUT1	LUAD	0.770238350869659	0.434226079047044	2	0.334457579029793
E2F4	COG4	LUAD	0.691485935151385	0.512258103045519	8	0.354219273423305
E2F8	GANAB	LUAD	0.958773954586934	0.427350290908005	2	0.409732328407745
EBF1	CSGALNACT1	LUAD	0.975198625724715	0.419995819561238	1	0.409579346046245
EBF1	ST6GALNAC3	LUAD	0.697337341636246	0.423486945316645	1	0.295313260664764
EBF1	CHSY1	LUAD	0.754133562379214	0.460226800287577	1	0.347072476403258
EBF1	SULF2	LUAD	0.993074940949109	0.553026913297241	1	0.549197169265926
EBF1	CHST1	LUAD	0.545844964569465	0.444601147094021	1	0.242683297383079
EBF1	HAS2	LUAD	0.841958342280438	0.436286323304109	1	0.367334909528755
EBF1	MFNG	LUAD	0.529310715052609	0.400431251306387	1	0.211952551958395
EBF1	XYLT1	LUAD	0.639789564097058	0.445265308560023	1	0.284876097671159
EGR2	CSGALNACT2	LUAD	0.797884904444922	0.46738775407076	1	0.372921633495475
EGR2	MFNG	LUAD	0.943525875026841	0.527554948651809	1	0.497761744551438
EGR2	ST8SIA1	LUAD	0.71628730942667	0.444112127636605	1	0.318111880988578
EGR2	GM2A	LUAD	0.917114021902512	0.454547375626204	1	0.41687177180578
EGR2	GAL3ST4	LUAD	0.994041228258536	0.452025790091441	1	0.449332271587031
EGR2	ST3GAL2	LUAD	0.933916684560876	0.445672327103254	1	0.416220822128801
EGR2	NPL	LUAD	0.702115095555078	0.411395485585526	1	0.288846980672809
EGR2	MGAT3	LUAD	0.945082671247584	0.411365969850308	1	0.388774849646482
ELF1	COG3	LUAD	0.850493880180374	0.421765500354878	2	0.358708976923037
ELF1	COG6	LUAD	0.633991840240498	0.487171795360632	2	0.308862943053954
ELF1	FUT10	LUAD	0.780115954477131	0.411676976118669	2	0.321155777161075
ELK3	FUT11	LUAD	0.939234526813033	0.453434391229348	2	0.425881235887052
ELK3	GAL3ST4	LUAD	0.971764453271781	0.472663605605463	2	0.459317690282661
ELL	ST3GAL2	LUAD	0.994202587363788	0.467989668344202	1	0.465276539127327
EP400	MAN2A2	LUAD	0.556098346575048	0.408017828882238	3	0.226898040014553
ERCC6	MAN1A2	LUAD	0.676776894996779	0.448461621504912	2	0.303508463727315
ERCC6	NDST2	LUAD	0.876583637534894	0.469883154439649	2	0.411891884735078
ERCC6	HK1	LUAD	0.688801803736311	0.408255907166696	2	0.281207405242424
ERG	MFNG	LUAD	0.976003865149238	0.423478676316896	1	0.413316824893574
ERG	ST6GALNAC3	LUAD	0.589972085033283	0.43938639427969	1	0.259225707168445
ERG	NDST1	LUAD	0.971655572256818	0.5395702646769	1	0.524276454297396
ERG	MAN1C1	LUAD	0.995061198196264	0.502378371052988	1	0.499897223847874
ERG	ST3GAL2	LUAD	0.626852050676401	0.405588121122471	1	0.254243745455609
ERG	ST6GALNAC6	LUAD	0.994041228258536	0.406178091285163	1	0.403757768752811
ERG	XYLT1	LUAD	0.75144943096414	0.412832913375337	1	0.310223057839165
ESRRA	B3GAT3	LUAD	0.968380931930427	0.486870665953083	3	0.471476269225234
ETS1	CHST11	LUAD	0.946424736955121	0.525715096207515	1	0.497549771641534
ETS1	MFNG	LUAD	0.870839596306635	0.552191170086434	1	0.480869935642159
ETS1	NDST1	LUAD	0.889682198840455	0.417324817794887	1	0.371286461526447
ETS1	CHSY1	LUAD	0.728956409705819	0.514783593385719	1	0.375254800009914
