TF	gene	ctype	RP	cor	clst	BP
HINFP	MAN1B1	ACC	0.904664769982286	0.528990042674253	5	0.478558655278823
HOXA6	LAMP2	ACC	0.946696011594825	0.406330465499033	4	0.384671431077403
HOXA7	POMT2	ACC	0.997584411401578	0.509132290184922	9	0.507902436029663
HOXB6	MAN1B1	ACC	0.978742820333888	0.415192034139403	5	0.406366222473763
HOXB6	GALNT9	ACC	0.980567931719362	0.405660398441061	5	0.397777577879803
KLF10	ACER2	ACC	0.961082183692093	0.422133712660028	3	0.40570519037335
KLF15	MAN2A2	ACC	0.936657898974717	0.486799431009957	15	0.455964532271874
LARP7	ST6GALNAC5	ACC	0.965537602662515	0.498193204643393	16	0.481024272474137
LDB1	MAN2A1	ACC	0.944817220462719	0.510099573257468	3	0.48195086096434
MLLT1	SLC35E1	ACC	0.976434591228729	0.510241820768137	1	0.498217763689538
MLLT1	CSGALNACT2	ACC	0.983144559557679	0.581137980085348	1	0.571342643473249
MLLT1	FUT8	ACC	0.961672660905041	0.421906116642959	1	0.405735577844147
MNT	ST3GAL2	ACC	0.998228568361157	0.485348506401138	1	0.484488744701034
MSX1	SULF2	ACC	0.987331579794943	0.404324324324324	1	0.399202173884658
MSX1	POFUT2	ACC	0.995598260776209	0.401650071123755	1	0.399882112251451
MXD3	DPM2	ACC	0.911052659831446	0.670071123755334	17	0.610470079573543
MYBL1	FUT2	ACC	0.971227655805465	0.422901849217639	1	0.410733971651444
MYBL1	XYLT1	ACC	0.951527188791669	0.404352773826458	1	0.384752658159203
